strain,country,region,year,classification,strain,ST,K_locus,O_locus,O_type
GCF_900505245.1,Serbia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_RS047,ST101,KL17,O1v1,O1
GCF_900505315.1,Serbia,Europe_southern,2014,human_respiratory,EuSCAPE_RS052,ST101,KL17,O1v1,O1
GCF_900503505.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS054,ST101,KL17,O1v1,O1
GCF_900505335.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS058,ST101,KL17,O1v1,O1
GCF_900503515.1,Serbia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_RS060,ST101,KL17,O1v1,O1
GCF_900505375.1,Serbia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_RS063,ST101,KL17,O1v1,O1
GCF_900503545.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS067,ST101,KL17,O1v1,O1
GCF_900505415.1,Serbia,Europe_southern,2013,human_wound_trauma,EuSCAPE_RS069,ST101,KL17,O1v1,O1
GCF_900503535.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS071,ST101,KL17,O1v1,O1
GCF_900505435.1,Serbia,Europe_southern,2014,human_wound_trauma,EuSCAPE_RS074,ST101,KL17,O1v1,O1
GCF_900503565.1,Serbia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_RS076,ST101,KL17,O1v1,O1
GCF_900505505.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS085,ST101,KL17,O1v1,O1
GCF_900505485.1,Serbia,Europe_southern,2014,human_respiratory,EuSCAPE_RS086,ST101,KL17,O1v1,O1
GCF_900505525.1,Serbia,Europe_southern,2014,human_respiratory,EuSCAPE_RS088,ST101,KL17,O1v1,O1
GCF_900505535.1,Serbia,Europe_southern,2014,human_respiratory,EuSCAPE_RS092,ST101,KL17,O1v1,O1
GCF_900503625.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS099,ST101,KL17,O1v1,O1
GCF_900505555.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS100,ST101,KL17,O1v1,O1
GCF_900505595.1,Serbia,Europe_southern,2014,human_wound_trauma,EuSCAPE_RS103,ST101,KL17,O1v1,O1
GCF_900507115.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS108,ST101,KL17,O1v1,O1
GCF_900507165.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS115,ST101,KL17,O1v1,O1
GCF_900507195.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS118,ST101,KL17,O1v1,O1
GCF_900502975.1,Slovenia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_SI001,ST101,KL17,O1v1,O1
GCF_900503095.1,Slovenia,Europe_southern,2013,human_respiratory,EuSCAPE_SI025,ST101,KL17,O1v1,O1
GCF_900510645.1,Slovakia,Europe_eastern,2013,human_nasal_throat_mouth,EuSCAPE_SK007,ST15,KL24,O1v1,O1
GCF_900510835.1,Slovakia,Europe_eastern,2014,human_abscess_pus_fluid,EuSCAPE_SK036,ST15,KL24,O1v1,O1
GCF_900507575.1,Turkey,Asia_western,2014,human_respiratory,EuSCAPE_TR001,ST101,KL17,O1v1,O1
GCF_900507645.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR004,ST101,KL17,O1v1,O1
GCF_900508585.1,Turkey,Asia_western,2014,human_respiratory,EuSCAPE_TR186,ST101,KL17,O1v1,O1
GCF_900511215.1,Austria,Europe_western,2013,human_urogenital_urine,EuSCAPE_AT013,ST6,KL7,O1v1,O1
GCF_900509875.1,Austria,Europe_western,2013,human_respiratory,EuSCAPE_AT016,ST294,KL30,O1v1,O1
GCF_900506485.1,Belgium,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_BE003,ST3636,KL121,O1v1,O1
GCF_900506495.1,Belgium,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_BE005,ST253,KL60,O1v1,O1
GCF_900506515.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE013,ST15,KL112,O1v1,O1
GCF_900506605.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE036,ST15,KL112,O1v1,O1
GCF_900506655.1,Belgium,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_BE046,ST1145,KL30,O1v1,O1
GCF_900506695.1,Belgium,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_BE049,ST215,KL16,O1v1,O1
GCF_900506705.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE050,ST101,KL17,O1v1,O1
GCF_900507525.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE122,ST4,KL10,O1v1,O1
GCF_900516735.1,Bulgaria,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_BU020,ST889,KL54,O1v1,O1
GCF_900508435.1,Czech Republic,Europe_eastern,2014,human_wound_trauma,EuSCAPE_CZ010,ST14,KL2,O1v1,O1
GCF_900510985.1,Czech Republic,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_CZ012,ST1333,KL64,O1v1,O1
GCF_900512605.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE008,ST14,KL2,O1v1,O1
GCF_900511875.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE011,ST3640,KL64,O1v1,O1
GCF_900512255.1,Germany,Europe_western,2014,human_abdominal,EuSCAPE_DE017,ST15,KL112,O1v1,O1
GCF_900512325.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE021,ST6,KL7,O1v1,O1
GCF_900512315.1,Germany,Europe_western,2014,human_respiratory,EuSCAPE_DE023,ST14,KL2,O1v1,O1
GCF_900512425.1,Germany,Europe_western,2013,human_external,EuSCAPE_DE027,ST6,KL7,O1v1,O1
GCF_900512505.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE045,ST1333,KL5,O1v1,O1
GCF_900512525.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE047,ST14,KL2,O1v1,O1
GCF_900512695.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE081,ST3643,KL64,O1v1,O1
GCF_900512735.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE082,ST542,KL8,O1v1,O1
GCF_900512725.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE083,ST831,KL18,O1v1,O1
GCF_900502535.1,Denmark,Europe_northern,2013,human_blood_bone_sterile,EuSCAPE_DK005,ST397,KL158,O1v1,O1
GCF_900502555.1,Denmark,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_DK006,ST290,KL21,O1v1,O1
GCF_900502605.1,Denmark,Europe_northern,2014,human_urogenital_urine,EuSCAPE_DK011,ST290,KL21,O1v1,O1
GCF_900511785.1,Estonia,Europe_northern,2014,human_wound_trauma,EuSCAPE_EE008,ST395,KL2,O1v1,O1
GCF_900510025.1,Estonia,Europe_northern,2014,human_urogenital_urine,EuSCAPE_EE015,ST995,KL117,O1v1,O1
GCF_900516295.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES043,ST15,KL112,O1v1,O1
GCF_900516345.1,Spain,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_ES053,ST15,KL112,O1v1,O1
GCF_900516315.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES054,ST15,KL112,O1v1,O1
GCF_900516305.1,Spain,Europe_southern,2013,human_wound_trauma,EuSCAPE_ES055,ST15,KL112,O1v1,O1
GCF_900516425.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES062,ST15,KL112,O1v1,O1
GCF_900516515.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES078,ST15,KL112,O1v1,O1
GCF_900516495.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES079,ST15,KL112,O1v1,O1
GCF_900501035.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES119,ST15,KL24,O1v1,O1
GCF_900501005.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES129,ST15,KL112,O1v1,O1
GCF_900501155.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES133,ST15,KL24,O1v1,O1
GCF_900501085.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES142,ST107,KL142,O1v1,O1
GCF_900501185.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES150,ST15,KL39,O1v1,O1
GCF_900501215.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES172,ST15,KL39,O1v1,O1
GCF_900500985.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES191,ST42,KL64,O1v1,O1
GCF_900517155.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES202,ST15,KL112,O1v1,O1
GCF_900517175.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES208,ST542,KL8,O1v1,O1
GCF_900517195.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES209,ST42,KL64,O1v1,O1
GCF_900517245.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES212,ST449,KL22,O1v1,O1
GCF_900517425.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES235,ST35,KL22,O1v1,O1
GCF_900517485.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES244,ST3647,KL30,O1v1,O1
GCF_900517445.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES245,ST14,KL2,O1v1,O1
GCF_900517565.1,Spain,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_ES252,ST15,KL39,O1v1,O1
GCF_900517645.1,Spain,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_ES262,ST15,KL39,O1v1,O1
GCF_900500825.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES267,ST6,KL7,O1v1,O1
GCF_900500945.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES269,ST15,KL39,O1v1,O1
GCF_900517125.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES270,ST15,KL39,O1v1,O1
GCF_900517395.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES273,ST15,KL24,O1v1,O1
GCF_900517675.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES283,ST101,KL17,O1v1,O1
GCF_900517685.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES286,ST215,KL16,O1v1,O1
GCF_900517775.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES292,ST35,KL22,O1v1,O1
GCF_900511565.1,France,Europe_western,2014,human_catheter_tube_tip,EuSCAPE_FR003,ST101,KL17,O1v1,O1
GCF_900510455.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR029,ST791,KL62,O1v1,O1
GCF_900511715.1,France,Europe_western,2014,human,EuSCAPE_FR050,ST14,KL2,O1v1,O1
GCF_900510945.1,France,Europe_western,2014,human,EuSCAPE_FR067,ST14,KL2,O1v1,O1
GCF_900511735.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR068,ST14,KL2,O1v1,O1
GCF_900501405.1,Greece,Europe_southern,2013,human_respiratory,EuSCAPE_GR004,ST1916,KL27,O1v1,O1
GCF_900517865.1,Greece,Europe_southern,2013,human_respiratory,EuSCAPE_GR009,ST6,KL7,O1v1,O1
GCF_900500975.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR011,ST30,KL64,O1v1,O1
GCF_900500685.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR015,ST35,KL22,O1v1,O1
GCF_900501285.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR043,ST2451,KL35,O1v1,O1
GCF_900501255.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR047,ST86,KL2,O1v1,O1
GCF_900501335.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR078,ST14,KL2,O1v1,O1
GCF_900501425.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR112,ST882,KL16,O1v1,O1
GCF_900502245.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR114,ST461,KL64,O1v1,O1
GCF_900501535.1,Greece,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_GR129,ST35,KL22,O1v1,O1
GCF_900502355.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR145,ST870,KL17,O1v1,O1
GCF_900501565.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR153,ST420,KL20,O1v1,O1
GCF_900505635.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR001,ST15,KL112,O1v1,O1
GCF_900506055.1,Croatia,Europe_southern,2013,human_urogenital_urine,EuSCAPE_HR060,ST15,KL112,O1v1,O1
GCF_900506075.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR062,ST14,KL2,O1v1,O1
GCF_900506105.1,Croatia,Europe_southern,2013,human_respiratory,EuSCAPE_HR068,ST15,KL112,O1v1,O1
GCF_900506205.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR081,ST1010,KL142,O1v1,O1
GCF_900504975.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR092,ST15,KL112,O1v1,O1
GCF_900505015.1,Croatia,Europe_southern,2013,human_respiratory,EuSCAPE_HR100,ST870,KL17,O1v1,O1
GCF_900505005.1,Croatia,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_HR101,ST14,KL2,O1v1,O1
GCF_900505035.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR104,ST15,KL112,O1v1,O1
GCF_900517085.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU002,ST15,KL112,O1v1,O1
GCF_900517135.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU003,ST15,KL112,O1v1,O1
GCF_900516275.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU004,ST15,KL112,O1v1,O1
GCF_900516325.1,Hungary,Europe_eastern,2013,human_wound_trauma,EuSCAPE_HU005,ST15,KL112,O1v1,O1
GCF_900516395.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU006,ST15,KL112,O1v1,O1
GCF_900516595.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU008,ST15,KL112,O1v1,O1
GCF_900516615.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU009,ST15,KL112,O1v1,O1
GCF_900516665.1,Hungary,Europe_eastern,2013,human_respiratory,EuSCAPE_HU010,ST15,KL112,O1v1,O1
GCF_900516725.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU011,ST15,KL112,O1v1,O1
GCF_900516745.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU013,ST15,KL112,O1v1,O1
GCF_900516755.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU015,ST15,KL112,O1v1,O1
GCF_900516845.1,Hungary,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_HU021,ST15,KL112,O1v1,O1
GCF_900516825.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU023,ST15,KL112,O1v1,O1
GCF_900516885.1,Hungary,Europe_eastern,2013,human_wound_trauma,EuSCAPE_HU025,ST15,KL112,O1v1,O1
GCF_900516875.1,Hungary,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_HU026,ST15,KL112,O1v1,O1
GCF_900516925.1,Hungary,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_HU028,ST15,KL112,O1v1,O1
GCF_900516905.1,Hungary,Europe_eastern,2014,human_wound_trauma,EuSCAPE_HU029,ST15,KL112,O1v1,O1
GCF_900517035.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU041,ST3640,KL64,O1v1,O1
GCF_900516965.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU044,ST15,KL112,O1v1,O1
GCF_900517005.1,Hungary,Europe_eastern,2013,human_abscess_pus_fluid,EuSCAPE_HU047,ST15,KL112,O1v1,O1
GCF_900516985.1,Hungary,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_HU050,ST15,KL112,O1v1,O1
GCF_900506315.1,Ireland,Europe_northern,2014,human_respiratory,EuSCAPE_IE010,ST5,KL39,O1v1,O1
GCF_900506325.1,Ireland,Europe_northern,2014,human_respiratory,EuSCAPE_IE017,ST5,KL39,O1v1,O1
GCF_900506405.1,Ireland,Europe_northern,2014,human_urogenital_urine,EuSCAPE_IE039,ST14,KL2,O1v1,O1
GCF_900512145.1,Israel,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_IL001,ST1269,KL139,O1v1,O1
GCF_900512195.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL016,ST133,KL103,O1v1,O1
GCF_900512265.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL019,ST290,KL21,O1v1,O1
GCF_900513715.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL028,ST348,KL62,O1v1,O1
GCF_900512955.1,Israel,Asia_western,2013,human_urogenital_urine,EuSCAPE_IL035,ST1536,KL61,O1v1,O1
GCF_900513645.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL067,ST35,KL22,O1v1,O1
GCF_900513655.1,Israel,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_IL068,ST4,KL13,O1v1,O1
GCF_900513675.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL073,ST395,KL2,O1v1,O1
GCF_900513145.1,Italy,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_IT055,ST107,KL47,O1v1,O1
GCF_900515055.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT093,ST14,KL2,O1v1,O1
GCF_900508565.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT115,ST35,KL22,O1v1,O1
GCF_900515165.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT153,ST1013,KL39,O1v1,O1
GCF_900515205.1,Italy,Europe_southern,2014,human_respiratory,EuSCAPE_IT163,ST380,KL2,O1v1,O1
GCF_900515195.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT165,ST449,KL22,O1v1,O1
GCF_900515355.1,Italy,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_IT167,ST35,KL16,O1v1,O1
GCF_900514255.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT201,ST101,KL17,O1v1,O1
GCF_900514345.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT208,ST101,KL17,O1v1,O1
GCF_900514355.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT210,ST101,KL17,O1v1,O1
GCF_900514375.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT213,ST180,KL55,O1v1,O1
GCF_900514385.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT215,ST14,KL2,O1v1,O1
GCF_900514565.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT237,ST1536,KL61,O1v1,O1
GCF_900515755.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT291,ST86,KL2,O1v1,O1
GCF_900515825.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT312,ST870,KL17,O1v1,O1
GCF_900515845.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT313,ST310,KL1,O1v1,O1
GCF_900515865.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT315,ST466,KL22,O1v1,O1
GCF_900516105.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT350,ST3661,KL21,O1v1,O1
GCF_900516155.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT352,ST3661,KL21,O1v1,O1
GCF_900516245.1,Italy,Europe_southern,2014,human_wound_trauma,EuSCAPE_IT364,ST1685,KL17,O1v1,O1
GCF_900516215.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT367,ST889,KL54,O1v1,O1
GCF_900515435.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT369,ST35,KL22,O1v1,O1
GCF_900515575.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT391,ST15,KL112,O1v1,O1
GCF_900503725.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU015,ST35,KL22,O1v1,O1
GCF_900515685.1,Latvia,Europe_northern,2014,human_urogenital_urine,EuSCAPE_LV006,ST86,KL2,O1v1,O1
GCF_900512825.1,Norway,Europe_northern,2013,human_urogenital_urine,EuSCAPE_NO001,ST107,KL103,O1v1,O1
GCF_900510155.1,Poland,Europe_eastern,2013,human_respiratory,EuSCAPE_PL013,ST1801,KL35,O1v1,O1
GCF_900510125.1,Poland,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_PL015,ST42,KL64,O1v1,O1
GCF_900502705.1,Portugal,Europe_southern,2013,human_respiratory,EuSCAPE_PT006,ST348,KL62,O1v1,O1
GCF_900502715.1,Portugal,Europe_southern,2013,human_respiratory,EuSCAPE_PT009,ST15,KL112,O1v1,O1
GCF_900502725.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT011,ST15,KL112,O1v1,O1
GCF_900502775.1,Portugal,Europe_southern,2014,human_respiratory,EuSCAPE_PT019,ST14,KL2,O1v1,O1
GCF_900502865.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT034,ST870,KL17,O1v1,O1
GCF_900501745.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT040,ST15,KL112,O1v1,O1
GCF_900501775.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT041,ST15,KL110,O1v1,O1
GCF_900501785.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT049,ST15,KL112,O1v1,O1
GCF_900501835.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT052,ST14,KL16,O1v1,O1
GCF_900501875.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT058,ST395,KL2,O1v1,O1
GCF_900501965.1,Portugal,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_PT066,ST348,KL62,O1v1,O1
GCF_900502025.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT073,ST15,KL112,O1v1,O1
GCF_900502065.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT075,ST15,KL112,O1v1,O1
GCF_900502135.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT088,ST15,KL112,O1v1,O1
GCF_900502145.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT089,ST870,KL17,O1v1,O1
GCF_900502125.1,Portugal,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_PT090,ST35,KL22,O1v1,O1
GCF_900502175.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT094,ST14,KL2,O1v1,O1
GCF_900502215.1,Portugal,Europe_southern,2014,human,EuSCAPE_PT100,ST348,KL62,O1v1,O1
GCF_900504615.1,Romania,Europe_eastern,2013,human_abscess_pus_fluid,EuSCAPE_RO030,ST505,KL64,O1v1,O1
GCF_900504625.1,Romania,Europe_eastern,2013,human_wound_trauma,EuSCAPE_RO032,ST15,KL28,O1v1,O1
GCF_900504205.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO070,ST15,KL112,O1v1,O1
GCF_900504215.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO072,ST1527,KL55,O1v1,O1
GCF_900504355.1,Romania,Europe_eastern,2014,human_respiratory,EuSCAPE_RO086,ST42,KL64,O1v1,O1
GCF_900504505.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO099,ST101,KL17,O1v1,O1
GCF_900503315.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO105,ST101,KL17,O1v1,O1
GCF_900505695.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO106,ST86,KL2,O1v1,O1
GCF_900503325.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO112,ST889,KL54,O1v1,O1
GCF_900506185.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO114,ST3669,KL30,O1v1,O1
GCF_900505475.1,Romania,Europe_eastern,2013,human_blood_bone_sterile,EuSCAPE_RO122,ST101,KL17,O1v1,O1
GCF_900505085.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS012,ST101,KL17,O1v1,O1
GCF_900505065.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS015,ST101,KL17,O1v1,O1
GCF_900505445.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS079,ST101,KL17,O1v1,O1
GCF_900503005.1,Slovenia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_SI006,ST5,KL39,O1v1,O1
GCF_900503085.1,Slovenia,Europe_southern,2013,human_respiratory,EuSCAPE_SI021,ST35,KL62,O1v1,O1
GCF_900503105.1,Slovenia,Europe_southern,2013,human_respiratory,EuSCAPE_SI022,ST343,KL30,O1v1,O1
GCF_900503385.1,Slovenia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_SI026,ST295,KL30,O1v1,O1
GCF_900510635.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK005,ST15,KL112,O1v1,O1
GCF_900510685.1,Slovakia,Europe_eastern,2014,human_nasal_throat_mouth,EuSCAPE_SK014,ST20,KL64,O1v1,O1
GCF_900510855.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK037,ST35,KL22,O1v1,O1
GCF_900510865.1,Slovakia,Europe_eastern,2014,human_nasal_throat_mouth,EuSCAPE_SK038,ST461,KL60,O1v1,O1
GCF_900507655.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR012,ST343,KL30,O1v1,O1
GCF_900507675.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR013,ST35,KL22,O1v1,O1
GCF_900507695.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR019,ST15,KL112,O1v1,O1
GCF_900507855.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR044,ST101,KL17,O1v1,O1
GCF_900507935.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR052,ST101,KL17,O1v1,O1
GCF_900507945.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR057,ST101,KL17,O1v1,O1
GCF_900508005.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR065,ST3677,KL18,O1v1,O1
GCF_900508015.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR070,ST35,KL16,O1v1,O1
GCF_900507415.1,Turkey,Asia_western,2014,human_respiratory,EuSCAPE_TR133,ST882,KL16,O1v1,O1
GCF_900507435.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR143,ST29,KL10,O1v1,O1
