strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900510925.1,EuSCAPE_SK045,≤0.06,Functional,Functional,Sensitive
GCF_900510915.1,EuSCAPE_CZ003,≤0.06,Functional,Functional,Sensitive
GCF_900510955.1,EuSCAPE_CZ004,≤0.06,Functional,Functional,Sensitive
GCF_900510985.1,EuSCAPE_CZ012,≤0.06,Functional,Functional,Sensitive
GCF_900511025.1,EuSCAPE_FR071,≤0.06,Functional,Functional,Sensitive
GCF_900511075.1,EuSCAPE_CZ030,≤0.06,Functional,Functional,Sensitive
GCF_900511055.1,EuSCAPE_CZ031,≤0.06,Functional,Functional,Sensitive
GCF_900511135.1,EuSCAPE_FR072,≤0.06,Functional,Functional,Sensitive
GCF_900511155.1,EuSCAPE_CZ039,≤0.06,Functional,Functional,Sensitive
GCF_900511145.1,EuSCAPE_AT001,≤0.06,Functional,Functional,Sensitive
GCF_900509185.1,EuSCAPE_AT003,≤0.06,Functional,Functional,Sensitive
GCF_900511165.1,EuSCAPE_AT009,≤0.06,Functional,Functional,Sensitive
GCF_900511215.1,EuSCAPE_AT013,≤0.06,Functional,Functional,Sensitive
GCF_900511225.1,EuSCAPE_AT019,≤0.06,Functional,Functional,Sensitive
GCF_900511205.1,EuSCAPE_FR073,≤0.06,Functional,Functional,Sensitive
GCF_900511235.1,EuSCAPE_AT026,≤0.06,Functional,Functional,Sensitive
GCF_900511245.1,EuSCAPE_AT028,≤0.06,Functional,Functional,Sensitive
GCF_900511285.1,EuSCAPE_CZ028,≤0.06,Functional,Functional,Sensitive
GCF_900511295.1,EuSCAPE_CZ029,≤0.06,Functional,Functional,Sensitive
GCF_900509385.1,EuSCAPE_FR080,≤0.06,Functional,Functional,Sensitive
GCF_900511335.1,EuSCAPE_AT030,≤0.06,Functional,Functional,Sensitive
GCF_900511575.1,EuSCAPE_FR012,≤0.06,Functional,Functional,Sensitive
GCF_900511605.1,EuSCAPE_FR018,≤0.06,Functional,Functional,Sensitive
GCF_900509205.1,EuSCAPE_FR021,≤0.06,Functional,Functional,Sensitive
GCF_900511685.1,EuSCAPE_FR039,≤0.06,Functional,Functional,Sensitive
GCF_900511675.1,EuSCAPE_FR045,≤0.06,Functional,Functional,Sensitive
GCF_900511665.1,EuSCAPE_FR047,≤0.06,Functional,Functional,Sensitive
GCF_900511715.1,EuSCAPE_FR050,≤0.06,Functional,Functional,Sensitive
GCF_900511725.1,EuSCAPE_FR054,≤0.06,Functional,Functional,Sensitive
GCF_900511765.1,EuSCAPE_FR062,≤0.06,Functional,Functional,Sensitive
GCF_900511805.1,EuSCAPE_FR078,≤0.06,Functional,Functional,Sensitive
GCF_900511855.1,EuSCAPE_NO016,≤0.06,Functional,Functional,Sensitive
GCF_900512055.1,EuSCAPE_MT020,≤0.06,Functional,Functional,Sensitive
GCF_900512025.1,EuSCAPE_LT007,≤0.06,Functional,Functional,Sensitive
GCF_900512865.1,EuSCAPE_IT025,≤0.06,Functional,Functional,Sensitive
GCF_900512905.1,EuSCAPE_IT027,≤0.06,Functional,Functional,Sensitive
GCF_900512945.1,EuSCAPE_IT033,≤0.06,Functional,Functional,Sensitive
GCF_900509255.1,EuSCAPE_IT035,≤0.06,Functional,Functional,Sensitive
GCF_900512985.1,EuSCAPE_IT037,≤0.06,Functional,Functional,Sensitive
GCF_900512995.1,EuSCAPE_IT039,≤0.06,Functional,Functional,Sensitive
GCF_900513025.1,EuSCAPE_IT041,≤0.06,Functional,Functional,Sensitive
GCF_900513155.1,EuSCAPE_IT043,≤0.06,Functional,Functional,Sensitive
GCF_900513055.1,EuSCAPE_IT045,≤0.06,Functional,Functional,Sensitive
GCF_900513075.1,EuSCAPE_IT047,≤0.06,Functional,Functional,Sensitive
GCF_900513125.1,EuSCAPE_IT057,≤0.06,Functional,Functional,Sensitive
GCF_900513185.1,EuSCAPE_IT059,≤0.06,Functional,Functional,Sensitive
GCF_900513225.1,EuSCAPE_IT063,≤0.06,Functional,Functional,Sensitive
GCF_900513235.1,EuSCAPE_IT065,≤0.06,Functional,Functional,Sensitive
GCF_900513275.1,EuSCAPE_IT081,≤0.06,Functional,Functional,Sensitive
GCF_900513995.1,EuSCAPE_IT002,≤0.06,Functional,Functional,Sensitive
GCF_900514055.1,EuSCAPE_IT004,≤0.06,Functional,Functional,Sensitive
GCF_900514215.1,EuSCAPE_IT006,≤0.06,Functional,Functional,Sensitive
GCF_900514105.1,EuSCAPE_IT010,≤0.06,Functional,Functional,Sensitive
GCF_900509545.1,EuSCAPE_IT012,≤0.06,Functional,Functional,Sensitive
GCF_900514165.1,EuSCAPE_IT016,≤0.06,Functional,Functional,Sensitive
GCF_900514155.1,EuSCAPE_IT018,≤0.06,Functional,Functional,Sensitive
GCF_900514175.1,EuSCAPE_IT019,≤0.06,Functional,Functional,Sensitive
GCF_900514245.1,EuSCAPE_IT198,≤0.06,Functional,Functional,Sensitive
GCF_900514295.1,EuSCAPE_IT200,≤0.06,Functional,Functional,Sensitive
GCF_900514325.1,EuSCAPE_IT206,≤0.06,Functional,Functional,Sensitive
GCF_900514415.1,EuSCAPE_IT217,≤0.06,Functional,Functional,Sensitive
GCF_900514405.1,EuSCAPE_IT221,≤0.06,Functional,Functional,Sensitive
GCF_900514705.1,EuSCAPE_IT223,≤0.06,Functional,Functional,Sensitive
GCF_900514455.1,EuSCAPE_IT225,≤0.06,Functional,Functional,Sensitive
GCF_900514505.1,EuSCAPE_IT233,≤0.06,Functional,Functional,Sensitive
GCF_900514595.1,EuSCAPE_IT245,≤0.06,Functional,Functional,Sensitive
GCF_900514625.1,EuSCAPE_IT247,≤0.06,Functional,Functional,Sensitive
GCF_900514615.1,EuSCAPE_IT249,≤0.06,Functional,Functional,Sensitive
GCF_900509555.1,EuSCAPE_IT251,≤0.06,Functional,Functional,Sensitive
GCF_900514665.1,EuSCAPE_IT255,≤0.06,Functional,Functional,Sensitive
GCF_900514735.1,EuSCAPE_IT259,≤0.06,Functional,Functional,Sensitive
GCF_900514785.1,EuSCAPE_IT113,≤0.06,Functional,Functional,Sensitive
GCF_900514845.1,EuSCAPE_IT119,≤0.06,Functional,Functional,Sensitive
GCF_900514815.1,EuSCAPE_IT121,≤0.06,Functional,Functional,Sensitive
GCF_900514985.1,EuSCAPE_IT133,≤0.06,Functional,Functional,Sensitive
GCF_900514955.1,EuSCAPE_IT135,≤0.06,Functional,Functional,Sensitive
GCF_900515005.1,EuSCAPE_IT139,≤0.06,Functional,Functional,Sensitive
GCF_900515065.1,EuSCAPE_IT141,≤0.06,Functional,Functional,Sensitive
GCF_900515075.1,EuSCAPE_IT143,≤0.06,Functional,Functional,Sensitive
GCF_900515105.1,EuSCAPE_IT145,≤0.06,Functional,Functional,Sensitive
GCF_900515085.1,EuSCAPE_IT147,≤0.06,Functional,Functional,Sensitive
GCF_900515115.1,EuSCAPE_IT149,≤0.06,Functional,Functional,Sensitive
GCF_900515175.1,EuSCAPE_IT151,≤0.06,Functional,Functional,Sensitive
GCF_900515165.1,EuSCAPE_IT153,≤0.06,Functional,Functional,Sensitive
GCF_900515135.1,EuSCAPE_IT155,≤0.06,Functional,Functional,Sensitive
GCF_900509275.1,EuSCAPE_IT157,≤0.06,Functional,Functional,Sensitive
GCF_900509535.1,EuSCAPE_IT159,≤0.06,Functional,Functional,Sensitive
GCF_900515125.1,EuSCAPE_IT161,≤0.06,Functional,Functional,Sensitive
GCF_900515205.1,EuSCAPE_IT163,≤0.06,Functional,Functional,Sensitive
GCF_900515195.1,EuSCAPE_IT165,≤0.06,Functional,Functional,Sensitive
GCF_900515355.1,EuSCAPE_IT167,≤0.06,Functional,Functional,Sensitive
GCF_900515235.1,EuSCAPE_IT169,≤0.06,Functional,Functional,Sensitive
GCF_900515435.1,EuSCAPE_IT369,≤0.06,Functional,Functional,Sensitive
GCF_900509435.1,EuSCAPE_IT371,≤0.06,Functional,Functional,Sensitive
GCF_900515445.1,EuSCAPE_IT373,≤0.06,Functional,Functional,Sensitive
GCF_900515455.1,EuSCAPE_IT375,≤0.06,Functional,Functional,Sensitive
GCF_900515465.1,EuSCAPE_IT377,≤0.06,Functional,Functional,Sensitive
GCF_900515485.1,EuSCAPE_IT379,≤0.06,Functional,Functional,Sensitive
GCF_900515505.1,EuSCAPE_IT383,≤0.06,Functional,Functional,Sensitive
GCF_900515525.1,EuSCAPE_IT385,≤0.06,Functional,Functional,Sensitive
GCF_900515575.1,EuSCAPE_IT391,≤0.06,Functional,Functional,Sensitive
GCF_900515595.1,EuSCAPE_IT397,≤0.06,Functional,Functional,Sensitive
GCF_900515625.1,EuSCAPE_IT399,≤0.06,Functional,Functional,Sensitive
GCF_900515715.1,EuSCAPE_IT261,≤0.06,Functional,Functional,Sensitive
GCF_900515755.1,EuSCAPE_IT291,≤0.06,Functional,Functional,Sensitive
GCF_900509285.1,EuSCAPE_IT263,≤0.06,Functional,Functional,Sensitive
GCF_900515815.1,EuSCAPE_IT307,≤0.06,Functional,Functional,Sensitive
GCF_900509605.1,EuSCAPE_IT309,≤0.06,Functional,Functional,Sensitive
GCF_900515845.1,EuSCAPE_IT313,≤0.06,Functional,Functional,Sensitive
GCF_900515865.1,EuSCAPE_IT315,≤0.06,Functional,Functional,Sensitive
GCF_900515895.1,EuSCAPE_IT321,≤0.06,Functional,Functional,Sensitive
GCF_900515915.1,EuSCAPE_IT323,≤0.06,Functional,Functional,Sensitive
GCF_900516065.1,EuSCAPE_IT327,≤0.06,Functional,Functional,Sensitive
GCF_900515965.1,EuSCAPE_IT329,≤0.06,Functional,Functional,Sensitive
GCF_900515995.1,EuSCAPE_IT331,≤0.06,Functional,Functional,Sensitive
GCF_900509595.1,EuSCAPE_IT344,≤0.06,Functional,Functional,Sensitive
GCF_900516125.1,EuSCAPE_IT346,≤0.06,Functional,Functional,Sensitive
GCF_900516115.1,EuSCAPE_IT348,≤0.06,Functional,Functional,Sensitive
GCF_900516105.1,EuSCAPE_IT350,≤0.06,Functional,Functional,Sensitive
GCF_900516155.1,EuSCAPE_IT352,≤0.06,Functional,Functional,Sensitive
GCF_900516175.1,EuSCAPE_IT358,≤0.06,Functional,Functional,Sensitive
GCF_900509585.1,EuSCAPE_IT360,≤0.06,Functional,Functional,Sensitive
GCF_900516185.1,EuSCAPE_IT362,≤0.06,Functional,Functional,Sensitive
GCF_900516215.1,EuSCAPE_IT367,≤0.06,Functional,Functional,Sensitive
GCF_900516505.1,EuSCAPE_ES076,≤0.06,Functional,Functional,Sensitive
GCF_900516575.1,EuSCAPE_ES086,≤0.06,Functional,Functional,Sensitive
GCF_900516705.1,EuSCAPE_ES106,≤0.06,Functional,Functional,Sensitive
GCF_900516735.1,EuSCAPE_BU020,≤0.06,Functional,Functional,Sensitive
GCF_900517145.1,EuSCAPE_ES200,≤0.06,Functional,Functional,Sensitive
GCF_900517205.1,EuSCAPE_ES204,≤0.06,Functional,Functional,Sensitive
GCF_900517165.1,EuSCAPE_ES205,≤0.06,Functional,Functional,Sensitive
GCF_900517235.1,EuSCAPE_ES271,≤0.06,Functional,Functional,Sensitive
GCF_900517185.1,EuSCAPE_ES206,≤0.06,Functional,Functional,Sensitive
GCF_900517215.1,EuSCAPE_ES207,≤0.06,Functional,Functional,Sensitive
GCF_900517175.1,EuSCAPE_ES208,≤0.06,Functional,Functional,Sensitive
GCF_900517195.1,EuSCAPE_ES209,≤0.06,Functional,Functional,Sensitive
GCF_900517245.1,EuSCAPE_ES212,≤0.06,Functional,Functional,Sensitive
GCF_900517315.1,EuSCAPE_ES214,≤0.06,Functional,Functional,Sensitive
GCF_900517285.1,EuSCAPE_ES215,≤0.06,Functional,Functional,Sensitive
GCF_900517275.1,EuSCAPE_ES217,≤0.06,Functional,Functional,Sensitive
GCF_900517295.1,EuSCAPE_ES218,≤0.06,Functional,Functional,Sensitive
GCF_900517345.1,EuSCAPE_ES222,≤0.06,Functional,Functional,Sensitive
GCF_900517335.1,EuSCAPE_ES223,≤0.06,Functional,Functional,Sensitive
GCF_900517415.1,EuSCAPE_ES224,≤0.06,Functional,Functional,Sensitive
GCF_900517385.1,EuSCAPE_ES228,≤0.06,Functional,Functional,Sensitive
GCF_900509625.1,EuSCAPE_ES230,≤0.06,Functional,Functional,Sensitive
GCF_900517355.1,EuSCAPE_ES232,≤0.06,Functional,Functional,Sensitive
GCF_900517365.1,EuSCAPE_ES234,≤0.06,Functional,Functional,Sensitive
GCF_900517425.1,EuSCAPE_ES235,≤0.06,Functional,Functional,Sensitive
GCF_900517435.1,EuSCAPE_ES241,≤0.06,Functional,Functional,Sensitive
GCF_900517475.1,EuSCAPE_ES242,≤0.06,Functional,Functional,Sensitive
GCF_900517455.1,EuSCAPE_ES243,≤0.06,Functional,Functional,Sensitive
GCF_900517485.1,EuSCAPE_ES244,≤0.06,Functional,Functional,Sensitive
GCF_900517445.1,EuSCAPE_ES245,≤0.06,Functional,Functional,Sensitive
GCF_900517495.1,EuSCAPE_ES275,≤0.06,Functional,Functional,Sensitive
GCF_900517525.1,EuSCAPE_ES246,≤0.06,Functional,Functional,Sensitive
GCF_900517535.1,EuSCAPE_ES256,≤0.06,Functional,Functional,Sensitive
GCF_900517595.1,EuSCAPE_ES257,≤0.06,Functional,Functional,Sensitive
GCF_900517605.1,EuSCAPE_ES258,≤0.06,Functional,Functional,Sensitive
GCF_900517615.1,EuSCAPE_ES259,≤0.06,Functional,Functional,Sensitive
GCF_900517665.1,EuSCAPE_ES277,≤0.06,Functional,Functional,Sensitive
GCF_900517655.1,EuSCAPE_ES278,≤0.06,Functional,Functional,Sensitive
GCF_900517635.1,EuSCAPE_ES281,≤0.06,Functional,Functional,Sensitive
GCF_900517685.1,EuSCAPE_ES286,≤0.06,Functional,Functional,Sensitive
GCF_900517715.1,EuSCAPE_ES288,≤0.06,Functional,Functional,Sensitive
GCF_900517765.1,EuSCAPE_ES290,≤0.06,Functional,Functional,Sensitive
GCF_900517775.1,EuSCAPE_ES292,≤0.06,Functional,Functional,Sensitive
GCF_900500825.1,EuSCAPE_ES267,≤0.06,Functional,Functional,Sensitive
GCF_900500865.1,EuSCAPE_GR064,≤0.06,Functional,Functional,Sensitive
GCF_900500985.1,EuSCAPE_ES191,≤0.06,Functional,Functional,Sensitive
GCF_900500955.1,EuSCAPE_ES192,≤0.06,Functional,Functional,Sensitive
GCF_900500995.1,EuSCAPE_ES117,≤0.06,Functional,Functional,Sensitive
GCF_900501045.1,EuSCAPE_ES120,≤0.06,Functional,Functional,Sensitive
GCF_900501015.1,EuSCAPE_ES124,≤0.06,Functional,Functional,Sensitive
GCF_900501025.1,EuSCAPE_ES128,≤0.06,Functional,Functional,Sensitive
GCF_900501055.1,EuSCAPE_ES135,≤0.06,Functional,Functional,Sensitive
GCF_900501115.1,EuSCAPE_ES141,≤0.06,Functional,Functional,Sensitive
GCF_900501085.1,EuSCAPE_ES142,≤0.06,Functional,Functional,Sensitive
GCF_900501075.1,EuSCAPE_ES146,≤0.06,Functional,Functional,Sensitive
GCF_900501145.1,EuSCAPE_ES148,≤0.06,Functional,Functional,Sensitive
GCF_900501195.1,EuSCAPE_ES158,≤0.06,Functional,Functional,Sensitive
GCF_900501315.1,EuSCAPE_GR061,≤0.06,Functional,Functional,Sensitive
GCF_900501355.1,EuSCAPE_GR065,≤0.06,Functional,Functional,Sensitive
GCF_900502925.1,EuSCAPE_SK013,≤0.06,Functional,Functional,Sensitive
GCF_900502965.1,EuSCAPE_IT253,≤0.06,Functional,Functional,Sensitive
GCF_900502975.1,EuSCAPE_SI001,≤0.06,Functional,Functional,Sensitive
GCF_900503005.1,EuSCAPE_SI006,≤0.06,Functional,Functional,Sensitive
GCF_900503045.1,EuSCAPE_SI015,≤0.06,Functional,Functional,Sensitive
GCF_900503105.1,EuSCAPE_SI022,≤0.06,Functional,Functional,Sensitive
GCF_900509695.1,EuSCAPE_SI024,≤0.06,Functional,Functional,Sensitive
GCF_900503385.1,EuSCAPE_SI026,≤0.06,Functional,Functional,Sensitive
GCF_900503615.1,EuSCAPE_LU004,≤0.06,Functional,Functional,Sensitive
GCF_900503765.1,EuSCAPE_SC014,≤0.06,Functional,Functional,Sensitive
GCF_900503805.1,EuSCAPE_UK001,≤0.06,Functional,Functional,Sensitive
GCF_900509305.1,EuSCAPE_SC024,≤0.06,Functional,Functional,Sensitive
GCF_900503865.1,EuSCAPE_UK049,≤0.06,Functional,Functional,Sensitive
GCF_900503905.1,EuSCAPE_UK062,≤0.06,Functional,Functional,Sensitive
GCF_900506315.1,EuSCAPE_IE010,≤0.06,Functional,Functional,Sensitive
GCF_900506375.1,EuSCAPE_IE029,≤0.06,Functional,Functional,Sensitive
GCF_900507245.1,EuSCAPE_TR095,≤0.06,Functional,Functional,Sensitive
GCF_900507255.1,EuSCAPE_TR099,≤0.06,Functional,Functional,Sensitive
GCF_900507295.1,EuSCAPE_TR110,≤0.06,Functional,Functional,Sensitive
GCF_900507415.1,EuSCAPE_TR133,≤0.06,Functional,Functional,Sensitive
GCF_900507435.1,EuSCAPE_TR143,≤0.06,Functional,Functional,Sensitive
GCF_900507515.1,EuSCAPE_TR157,≤0.06,Functional,Functional,Sensitive
GCF_900507765.1,EuSCAPE_TR031,≤0.06,Functional,Functional,Sensitive
GCF_900509355.1,EuSCAPE_TR036,≤0.06,Functional,Functional,Sensitive
GCF_900507785.1,EuSCAPE_TR037,≤0.06,Functional,Functional,Sensitive
GCF_900507815.1,EuSCAPE_TR038,≤0.06,Functional,Functional,Sensitive
GCF_900508025.1,EuSCAPE_TR075,≤0.06,Functional,Functional,Sensitive
GCF_900508045.1,EuSCAPE_TR076,≤0.06,Functional,Functional,Sensitive
GCF_900508055.1,EuSCAPE_TR077,≤0.06,Functional,Functional,Sensitive
GCF_900508035.1,EuSCAPE_TR080,≤0.06,Functional,Functional,Sensitive
GCF_900508085.1,EuSCAPE_TR081,≤0.06,Functional,Functional,Sensitive
GCF_900508305.1,EuSCAPE_AT015,≤0.06,Functional,Functional,Sensitive
GCF_900508325.1,EuSCAPE_PL011,≤0.06,Functional,Functional,Sensitive
GCF_900508335.1,EuSCAPE_PL047,≤0.06,Functional,Functional,Sensitive
GCF_900508515.1,EuSCAPE_IT031,≤0.06,Functional,Functional,Sensitive
GCF_900508605.1,EuSCAPE_TR191,≤0.06,Functional,Functional,Sensitive
GCF_900508645.1,EuSCAPE_TR193,≤0.06,Functional,Functional,Sensitive
GCF_900508655.1,EuSCAPE_TR196,≤0.06,Functional,Functional,Sensitive
GCF_900508785.1,EuSCAPE_TR210,≤0.06,Functional,Functional,Sensitive
GCF_900508815.1,EuSCAPE_TR211,≤0.06,Functional,Functional,Sensitive
GCF_900508795.1,EuSCAPE_TR213,≤0.06,Functional,Functional,Sensitive
GCF_900508835.1,EuSCAPE_TR215,≤0.06,Functional,Functional,Sensitive
GCF_900508825.1,EuSCAPE_TR217,≤0.06,Functional,Functional,Sensitive
GCF_900509835.1,EuSCAPE_TR218,≤0.06,Functional,Functional,Sensitive
GCF_900508955.1,EuSCAPE_TR239,≤0.06,Functional,Functional,Sensitive
GCF_900509055.1,EuSCAPE_TR255,≤0.06,Functional,Functional,Sensitive
GCF_900509845.1,EuSCAPE_TR259,≤0.06,Functional,Functional,Sensitive
GCF_900509065.1,EuSCAPE_TR261,≤0.06,Functional,Functional,Sensitive
GCF_900510005.1,EuSCAPE_EE012,≤0.06,Functional,Functional,Unknown
GCF_900510025.1,EuSCAPE_EE015,≤0.06,Functional,Functional,Unknown
GCF_900509415.1,EuSCAPE_EE016,≤0.06,Functional,Functional,Unknown
GCF_900510045.1,EuSCAPE_EE018,≤0.06,Functional,Functional,Unknown
GCF_900510035.1,EuSCAPE_EE022,≤0.06,Functional,Functional,Unknown
GCF_900510055.1,EuSCAPE_PL002,≤0.06,Functional,Functional,Unknown
GCF_900510075.1,EuSCAPE_PL005,≤0.06,Functional,Functional,Unknown
GCF_900510115.1,EuSCAPE_PL017,≤0.06,Functional,Functional,Unknown
GCF_900510225.1,EuSCAPE_PL019,≤0.06,Functional,Functional,Unknown
GCF_900510235.1,EuSCAPE_PL021,≤0.06,Functional,Functional,Unknown
GCF_900510205.1,EuSCAPE_PL034,≤0.06,Functional,Functional,Unknown
GCF_900510245.1,EuSCAPE_PL035,≤0.06,Functional,Functional,Unknown
GCF_900510315.1,EuSCAPE_PL055,≤0.06,Functional,Functional,Unknown
GCF_900510365.1,EuSCAPE_PL058,≤0.06,Functional,Functional,Unknown
GCF_900510565.1,EuSCAPE_SK001,≤0.06,Functional,Functional,Unknown
GCF_900509365.1,EuSCAPE_EE019,≤0.06,Functional,Functional,Unknown
GCF_900511385.1,EuSCAPE_PL020,≤0.06,Functional,Functional,Unknown
GCF_900511445.1,EuSCAPE_PL023,≤0.06,Functional,Functional,Unknown
GCF_900511485.1,EuSCAPE_PL041,≤0.06,Functional,Functional,Unknown
GCF_900511515.1,EuSCAPE_PL042,≤0.06,Functional,Functional,Unknown
GCF_900511535.1,EuSCAPE_PL051,≤0.06,Functional,Functional,Unknown
GCF_900511555.1,EuSCAPE_EE002,≤0.06,Functional,Functional,Unknown
GCF_900511755.1,EuSCAPE_EE007,≤0.06,Functional,Functional,Unknown
GCF_900511875.1,EuSCAPE_DE011,≤0.06,Functional,Functional,Unknown
GCF_900511935.1,EuSCAPE_MT010,≤0.06,Functional,Functional,Unknown
GCF_900511995.1,EuSCAPE_MT014,≤0.06,Functional,Functional,Unknown
GCF_900511975.1,EuSCAPE_MT015,≤0.06,Functional,Functional,Unknown
GCF_900512045.1,EuSCAPE_MT019,≤0.06,Functional,Functional,Unknown
GCF_900512065.1,EuSCAPE_LT006,≤0.06,Functional,Functional,Unknown
GCF_900512085.1,EuSCAPE_LT010,≤0.06,Functional,Functional,Unknown
GCF_900512115.1,EuSCAPE_DE015,≤0.06,Functional,Functional,Unknown
GCF_900512095.1,EuSCAPE_IL005,≤0.06,Functional,Functional,Unknown
GCF_900512155.1,EuSCAPE_IL006,≤0.06,Functional,Functional,Unknown
GCF_900512135.1,EuSCAPE_IL007,≤0.06,Functional,Functional,Unknown
GCF_900509405.2,EuSCAPE_IL010,≤0.06,Functional,Functional,Unknown
GCF_900509215.2,EuSCAPE_IL014,≤0.06,Functional,Functional,Unknown
GCF_900512205.1,EuSCAPE_IL015,≤0.06,Functional,Functional,Unknown
GCF_900512195.1,EuSCAPE_IL016,≤0.06,Functional,Functional,Unknown
GCF_900512225.1,EuSCAPE_IL017,≤0.06,Functional,Functional,Unknown
GCF_900512265.1,EuSCAPE_IL019,≤0.06,Functional,Functional,Unknown
GCF_900512295.1,EuSCAPE_IL022,≤0.06,Functional,Functional,Unknown
GCF_900509225.1,EuSCAPE_IL023,≤0.06,Functional,Functional,Unknown
GCF_900509465.1,EuSCAPE_DE018,≤0.06,Functional,Functional,Unknown
GCF_900512325.1,EuSCAPE_DE021,≤0.06,Functional,Functional,Unknown
GCF_900512425.1,EuSCAPE_DE027,≤0.06,Functional,Functional,Unknown
GCF_900512395.1,EuSCAPE_DE029,≤0.06,Functional,Functional,Unknown
GCF_900512385.1,EuSCAPE_DE004,≤0.06,Functional,Functional,Unknown
GCF_900509445.1,EuSCAPE_DE040,≤0.06,Functional,Functional,Unknown
GCF_900512465.1,EuSCAPE_DE041,≤0.06,Functional,Functional,Unknown
GCF_900509245.1,EuSCAPE_DE044,≤0.06,Functional,Functional,Unknown
GCF_900512505.1,EuSCAPE_DE045,≤0.06,Functional,Functional,Unknown
GCF_900512475.1,EuSCAPE_DE046,≤0.06,Functional,Functional,Unknown
GCF_900512515.1,EuSCAPE_DE050,≤0.06,Functional,Functional,Unknown
GCF_900509455.1,EuSCAPE_DE052,≤0.06,Functional,Functional,Unknown
GCF_900512545.1,EuSCAPE_DE054,≤0.06,Functional,Functional,Unknown
GCF_900509475.1,EuSCAPE_DE056,≤0.06,Functional,Functional,Unknown
GCF_900509485.1,EuSCAPE_DE060,≤0.06,Functional,Functional,Unknown
GCF_900512675.1,EuSCAPE_DE079,≤0.06,Functional,Functional,Unknown
GCF_900512705.1,EuSCAPE_DE009,≤0.06,Functional,Functional,Unknown
GCF_900512685.1,EuSCAPE_DE080,≤0.06,Functional,Functional,Unknown
GCF_900512695.1,EuSCAPE_DE081,≤0.06,Functional,Functional,Unknown
GCF_900512735.1,EuSCAPE_DE082,≤0.06,Functional,Functional,Unknown
GCF_900512725.1,EuSCAPE_DE083,≤0.06,Functional,Functional,Unknown
GCF_900512755.1,EuSCAPE_DE084,≤0.06,Functional,Functional,Unknown
GCF_900512715.1,EuSCAPE_DE086,≤0.06,Functional,Functional,Unknown
GCF_900512745.1,EuSCAPE_DE088,≤0.06,Functional,Functional,Unknown
GCF_900512765.1,EuSCAPE_DE091,≤0.06,Functional,Functional,Unknown
GCF_900512825.1,EuSCAPE_NO001,≤0.06,Functional,Functional,Unknown
GCF_900512955.1,EuSCAPE_IL035,≤0.06,Functional,Functional,Unknown
GCF_900513005.1,EuSCAPE_IL036,≤0.06,Functional,Functional,Unknown
GCF_900513175.1,EuSCAPE_IL038,≤0.06,Functional,Functional,Unknown
GCF_900513415.1,EuSCAPE_IL025,≤0.06,Functional,Functional,Unknown
GCF_900513455.1,EuSCAPE_IL045,≤0.06,Functional,Functional,Unknown
GCF_900513465.1,EuSCAPE_IL047,≤0.06,Functional,Functional,Unknown
GCF_900513505.1,EuSCAPE_IL050,≤0.06,Functional,Functional,Unknown
GCF_900513545.1,EuSCAPE_IL026,≤0.06,Functional,Functional,Unknown
GCF_900513535.1,EuSCAPE_IL054,≤0.06,Functional,Functional,Unknown
GCF_900513555.1,EuSCAPE_IL055,≤0.06,Functional,Functional,Unknown
GCF_900513595.1,EuSCAPE_IL061,≤0.06,Functional,Functional,Unknown
GCF_900513625.1,EuSCAPE_IL065,≤0.06,Functional,Functional,Unknown
GCF_900513635.1,EuSCAPE_IL066,≤0.06,Functional,Functional,Unknown
GCF_900513645.1,EuSCAPE_IL067,≤0.06,Functional,Functional,Unknown
GCF_900513655.1,EuSCAPE_IL068,≤0.06,Functional,Functional,Unknown
GCF_900509515.1,EuSCAPE_IL071,≤0.06,Functional,Functional,Unknown
GCF_900513715.1,EuSCAPE_IL028,≤0.06,Functional,Functional,Unknown
GCF_900513765.1,EuSCAPE_IL082,≤0.06,Functional,Functional,Unknown
GCF_900513795.1,EuSCAPE_IL085,≤0.06,Functional,Functional,Unknown
GCF_900513835.1,EuSCAPE_ME001,≤0.06,Functional,Functional,Unknown
GCF_900513845.1,EuSCAPE_ME003,≤0.06,Functional,Functional,Unknown
GCF_900513875.1,EuSCAPE_ME006,≤0.06,Functional,Functional,Unknown
GCF_900513965.1,EuSCAPE_ME017,≤0.06,Functional,Functional,Unknown
GCF_900514025.1,EuSCAPE_ME018,≤0.06,Functional,Functional,Unknown
GCF_900514015.1,EuSCAPE_ME019,≤0.06,Functional,Functional,Unknown
GCF_900514205.1,EuSCAPE_IT089,≤0.06,Functional,Functional,Unknown
GCF_900514195.1,EuSCAPE_IT101,≤0.06,Functional,Functional,Unknown
GCF_900514235.1,EuSCAPE_IT197,≤0.06,Functional,Functional,Unknown
GCF_900514335.1,EuSCAPE_IT211,≤0.06,Functional,Functional,Unknown
GCF_900514375.1,EuSCAPE_IT213,≤0.06,Functional,Functional,Unknown
GCF_900514385.1,EuSCAPE_IT215,≤0.06,Functional,Functional,Unknown
GCF_900514395.1,EuSCAPE_IT103,≤0.06,Functional,Functional,Unknown
GCF_900514425.1,EuSCAPE_IT219,≤0.06,Functional,Functional,Unknown
GCF_900514565.1,EuSCAPE_IT237,≤0.06,Functional,Functional,Unknown
GCF_900514535.1,EuSCAPE_IT239,≤0.06,Functional,Functional,Unknown
