strain	species	species_match	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	hypermucoidy	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR474535	Klebsiella pneumoniae	strong	120	389104	729416	ST16	0	0	8	11	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	TetA	DfrA12	AmpH*;OXA-1	-	-	-	-	SHV-26*;TEM-30*
ERR474538	Klebsiella pneumoniae	strong	179	228608	964430	ST874	0	1	8	14	-	0	-	0	-	0	-	0	-	wzi222	KL45	?	Good	98.41%		O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474540	Klebsiella pneumoniae	strong	213	191365	853932	ST874	0	1	8	14	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474541	Klebsiella pneumoniae	strong	161	270015	807157	ST874-1LV	0	1	8	15	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15?	-	-	-
ERR474543	Klebsiella pneumoniae	strong	130	170138	481387	ST340	0	0	4	5	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	SulI	-	-	AmpH*	-	-	-	SHV-11	-
ERR474544	Klebsiella pneumoniae	strong	143	191614	465865	ST340	0	1	7	8	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR474545	Klebsiella pneumoniae	strong	269	143185	473502	ST1380	0	1	4	4	-	0	-	0	-	0	-	0	-	wzi31	KL31	none	Very high	99.51%		O2v1	none	Very high	97.69%		ST1380	2	3	1	1	9	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	CatB2	-	SulI	-	-	AmpH*	-	SHV-12*?	-	-	-
ERR474547	Klebsiella pneumoniae	strong	133	350104	464699	ST101	0	0	4	6	-	0	-	0	-	0	-	0	-	wzi29	KL106	none	Very high	99.94%		O1v2	none	Very high	98.53%		ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;StrB*;StrA?	-	-	-	-	-	-	-	-	SulII	TetA	-	SHV-28*;AmpH*	-	-	-	-	TEM-30*
ERR474548	Klebsiella pneumoniae	strong	173	198643	456248	ST15	0	1	6	13	-	0	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	99.99%	KL24_14_wzy	O2v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ArmA;Aac3-IId*;AadA1-pm*?;Aac6-Ib*?	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	MsrE;MphE*	-	CatB4?;CatA2*	-	-	-	-	SHV-28*;AmpH*;OXA-9;OXA-1	-	CTX-M-15	-	TEM-55*	-
ERR474551	Klebsiella pneumoniae	strong	113	274060	1334582	ST785	1	0	2	2	ybt 16; ICEKp12	277-3LV	-	0	-	0	-	0	-	wzi105	KL103	*	Very high	96.54%		O1v1	none	Very high	98.33%		ST785	2	1	2	69	10	27	19	6	15	5	4*	11	245*	23*	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	TetD	-	AmpH*;SHV-187*	-	-	-	-	-
ERR474552	Klebsiella pneumoniae	strong	129	296901	809105	ST225	0	1	1	1	-	0	-	0	-	0	-	0	-	wzi59	KL3	*	Very high	99.29%		O2v2	none	Very high	98.15%		ST225	10	1	1	1	12	1	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-27	-	-	-
ERR474553	Klebsiella pneumoniae	strong	165	277961	730995	ST2004	0	1	8	10	-	0	-	0	-	0	-	0	-	0	KL107	?-+*	None	80.78%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	?-*	None	77.18%	O4_03_hypothetical,O4_06_glycosyltransferase	ST2004	4	1	2	1	1	114	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	-	CatB4?	-	SulII	TetA	DfrA14	AmpH*;SHV-187*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474559	Klebsiella pneumoniae	strong	109	348965	968223	ST1480	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi39	KL39	?-	Good	98.77%	KL39_18_manC	O3b	?-	Good	99.10%	O3b_01_manC	ST1480	2	9	2	1	16	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-77*	-
ERR486274	Klebsiella pneumoniae	strong	202	303441	708791	ST14	0	0	4	4	-	0	-	0	-	0	-	0	-	0	KL2	none	Very high	99.74%		O1v1	-	High	99.96%	O1/O2v1_06_wbbO	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB	-	-	GyrA-83Y	-	-	-	-	-	SulII	-	-	AmpH*	-	-	-	-	TEM-30*
ERR486281	Klebsiella pneumoniae	strong	164	254967	736851	ST37	0	1	7	9	-	0	-	0	-	0	-	0	-	wzi96	KL38	none	Very high	99.69%		O3b	none	Very high	99.30%		ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	GyrA-83Y	-	-	-	-	-	SulI	TetD	DfrA5	AmpH*	-	CTX-M-15;SHV-12?	-	-	TEM-30*;TEM-30*
ERR486283	Klebsiella pneumoniae	strong	322	114659	278405	ST42	0	1	9	13	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.87%		O1v2	none	Very high	98.53%		ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib;Aph3-Ia*	-	-	ParC-80I;GyrA-83F;GyrA-87Y	-	MphA	-	CatA1*	-	SulI	TetA*	DfrA5	AmpH*;OXA-9*	-	SHV-12	-	-	TEM-54*
ERR486284	Klebsiella pneumoniae	strong	207	203779	457474	ST152	0	0	0	0	-	0	-	0	-	0	-	0	-	0	KL102	none	Very high	99.20%		O3/O3a	none	Very high	98.12%		ST152	2	3	2	1	1	4	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486285	Klebsiella pneumoniae	strong	217	243495	477406	ST14	0	0	3	4	-	0	-	0	-	0	-	0	-	0	KL2	none	Very high	99.75%		O1v1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	GyrA-83Y	-	-	-	-	-	SulII	-	-	AmpH*	-	-	-	-	-
ERR486288	Klebsiella pneumoniae	strong	199	173844	611519	ST163	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi84	KL28	none	Very high	99.19%		O1v2	none	Very high	99.48%		ST163	2	1	1	1	9	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-36	-	-	-	-	-
ERR486289	Klebsiella pneumoniae	strong	95	312158	771914	ST29	1	1	8	8	ybt unknown	0	-	0	-	0	-	0	-	wzi85	KL30	?-*	Good	96.55%	KL30_15_wcuG	O1v2	none	Very high	99.40%		ST29	2	3	2	2	6	4	4	4	4	5*	4*	1	27	184*	2	4*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	GyrA-83F	-	EreA2	-	CatA1*	-	SulI	-	DfrA5	SHV-187;AmpH*	-	CTX-M-3	-	-	TEM-30*
ERR486290	Klebsiella pneumoniae	strong	198	207754	524908	ST42	0	1	9	14	-	0	-	0	-	0	-	0	-	wzi29	KL106	none	Very high	99.95%		O1v2	none	Very high	98.53%		ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83F;GyrA-87Y	-	MphA	-	CatA1*	-	SulI	TetA*;TetD	DfrA5	AmpH*;OXA-9*	-	SHV-12?	-	TEM-206?	-
ERR486291	Klebsiella pneumoniae	strong	209	188623	502106	ST776	0	1	7	7	-	0	-	0	-	0	-	0	-	wzi206	KL57	?-	Good	99.88%	KL57_17_manB	O3/O3a	?-	Good	97.66%	O3/O3a_02_manB	ST776	2	1	2	1	2	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-87N	-	EreA2	-	CatA1*	-	SulI	-	DfrA5	SHV-187*;AmpH*	-	CTX-M-26	-	-	TEM-30*
ERR486292	Klebsiella pneumoniae	strong	110	297545	696596	ST237-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi19	KL19	*	High	94.98%		O2v2	none	Very high	98.44%		ST237-1LV	4	1	2	2	12	10	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187*;AmpH*	-	-	-	-	-
ERR486294	Klebsiella variicola	strong	119	339104	759812	ST363-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi53	KL53	none	Very high	99.90%		O3/O3a	none	Very high	99.29%		ST363-1LV	16	18	21	38	53	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-24*;AmpH*	-	-	-	-	-
ERR486298	Klebsiella variicola	strong	81	856416	1208620	ST208-1LV	0	0	1	1	-	0	-	0	-	0	-	0	-	0	KL123	*	Very high	95.53%		O5	-	Good	99.66%	O5_01_manC,O5_02_manB	ST208-1LV	16	24	21	27	50	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	LEN-24*;AmpH*	-	-	-	-	-
ERR486299	Klebsiella variicola	strong	239	266465	471919	ST2412-2LV	0	1	8	9	-	0	-	0	-	0	-	0	-	wzi422	KL126	?+*	Good	95.28%		OL103	none	Very high	96.56%		ST2412-2LV	30*	18	21	49	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1	-	EreA2	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;LEN-24*;OXA-9	-	SHV-12	-	TEM-55*	-
ERR486302	Klebsiella pneumoniae	strong	199	198166	444650	ST448	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi115	KL54	none	Very high	99.93%		O1v2	none	Very high	99.14%		ST448	49	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187;AmpH*	-	-	-	-	-
ERR486305	Klebsiella pneumoniae	strong	221	204859	378685	ST20	1	0	0	0	ybt 14; ICEKp5	135	-	0	-	0	-	0	-	wzi84	KL28	none	Very high	99.18%		O1v2	none	Very high	98.39%		ST20	2	3	1	1	4	4	4	4	4	18	4	1	27	25	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486310	Klebsiella pneumoniae	strong	147	318106	634965	ST162-3LV	0	0	7	10	-	0	-	0	-	0	-	0	-	wzi46	KL46	*	High	93.67%		O1v1	none	Very high	98.33%		ST162-3LV	2	1	1	97	12	7	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;AadA2*;Aph3-Ia*	-	-	GyrA-83Y	-	MphA	-	-	-	SulI	TetA	DfrA12*	AmpH*;SCO-1	-	-	-	-	SHV-26*;TEM-30*
ERR486311	Klebsiella pneumoniae	strong	202	196749	428440	ST35	0	0	1	5	-	0	-	0	-	0	-	0	-	wzi39	KL39	none	Very high	99.98%		O3b	none	Very high	99.17%		ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-33;SHV-33;SHV-33;SHV-33;SHV-33	-
ERR486312	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	91	637879	1117270	ST1484-1LV	0	0	2	2	-	0	-	0	-	0	-	0	-	0	KL57	?-+*	Low	96.25%	KL57_16_manC,KL57_17_manB	O3/O3a	?-	Good	96.03%	O3/O3a_01_manC,O3/O3a_02_manB,O3/O3a_08_wbdC	ST1484-1LV	94	22	25	22	32	13	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	AmpH*	-	-	-	OKP-B-9*	-
ERR486316	Klebsiella pneumoniae	strong	254	215571	474551	ST101	1	1	8	15	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	wzi137	KL17	none	Perfect	100.00%		O1v1	none	Very high	98.03%		ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA1-pm*?;Aac6-Ib;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	-	-	CatA2*	-	SulII	TetD	DfrA14	SHV-28*;AmpH*;OXA-9	-	CTX-M-15	-	-	TEM-54*
ERR486321	Klebsiella pneumoniae	strong	167	275617	474550	ST101	1	1	7	11	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	wzi137	KL17	none	Perfect	100.00%		O1v1	none	Very high	98.03%		ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib;Aac3-IIa*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	-	-	CatA2*	-	-	TetD	DfrA14	SHV-28*;AmpH*;OXA-9	-	CTX-M-15	-	-	TEM-54*
ERR486322	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	66	657392	1435528	ST426-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	KL35	?-+*	Good	95.90%	KL35_19_manB	O3/O3a	?-	Good	96.07%	O3/O3a_02_manB	ST426-2LV	18	15	18	16	11	94	50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OKP-B-16*?;AmpH*	-	-	-	-	-
ERR486323	Klebsiella pneumoniae	strong	175	249928	812976	ST11	0	1	10	17	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.83%		O4	none	Very high	99.66%		ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-IIa*;Aph3-Ia*;AadA2*?	-	-	ParC-80I;GyrA-83I	-	MphA	-	CmlA1*;CatB4?;CatA1*	-	SulI;SulIII	TetA	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	SHV-11	TEM-30*
ERR486326	Klebsiella pneumoniae	strong	375	196957	499142	ST1967	0	0	6	12	-	0	-	0	-	0	-	0	-	0	KL21	?-+	Good	99.46%	KL21_17_manC,KL21_18_manB	O3b	?-	Good	99.27%	O3b_01_manC,O3b_02_manB	ST1967	2	3	6	1	9	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;AadA2;StrA*;AadA1-pm*?;Aph3-Ia*	-	-	-	-	-	-	CatA2*	-	SulI	TetA	DfrA15b*;DfrA1	AmpH*	-	-	-	-	SHV-26;TEM-30*
ERR486328	Klebsiella pneumoniae	strong	185	156191	566464	ST147	0	0	1	2	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	-	-	-	SHV-67*;AmpH*	-	-	-	-	-
ERR486332	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	174	345579	652613	ST384	0	1	5	9	-	0	-	0	-	0	-	0	-	0	KL35	*	Very high	95.69%		O3/O3a	none	Very high	95.99%		ST384	18	23	56	63	80	43	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1;Qnr-A1	-	-	-	CmlA5*?;CmlA5*?	-	SulI;SulI;SulI	-	-	AmpH*	-	SHV-12	-	OKP-B-3*	-
ERR486333	Klebsiella pneumoniae	strong	86	491425	757750	ST405	1	0	1	1	ybt 0; ICE?	160-1LV	-	0	-	0	-	0	-	wzi143	KL151	none	Very high	99.24%		O4	none	Very high	99.70%		ST405	2	1	62	3	10	4	110	44	61	58	65	40	138*	140	45	38	63	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-76	-
ERR486334	Klebsiella pneumoniae	strong	186	248539	522359	ST231	0	0	5	9	-	0	-	0	-	0	-	0	-	wzi104	KL51	-	High	99.41%	KL51_14_wcoZ	O1v2	none	Very high	98.45%		ST231	2	6	1	3	26	1	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadB*;AadA1-pm*?;Aac3-IId*?	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	SulI*;SulII	TetD	DfrA15b*	AmpH*;OXA-10;TEM-104?	-	-	-	-	-
ERR486335	Klebsiella pneumoniae	strong	132	330297	822794	ST1	0	1	8	12	-	0	-	0	-	0	-	0	-	wzi45	KL45	none	Very high	98.41%		O1v2	none	Very high	99.50%		ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;Aac3-IIa*	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?;CatA2*	-	SulII	TetA	DfrA12	AmpH*;SHV-187*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486336	Klebsiella pneumoniae	strong	75	520451	1456231	ST490	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi59	KL3	none	Very high	99.59%		O2v2	none	Very high	98.42%		ST490	4	1	1	1	21	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y	-	-	-	-	-	-	-	-	SHV-187*;AmpH*	-	-	-	-	-
ERR486337	Klebsiella pneumoniae	strong	149	239432	693897	ST874-1LV	0	1	8	12	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	?-	Good	99.46%	O1/O2v2_06_wbbO	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac3-IIa*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	-	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121	-	CTX-M-15	-	-	TEM-30*
ERR486343	Klebsiella pneumoniae	strong	86	391526	1063944	ST17	1	0	1	2	ybt 14; ICEKp5?	131-4LV	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.15%	KL25_09_wfeD	O5	*	High	94.19%		ST17	2	1	1	1	4	4	4	4	4	5	4	1	27	184*	2*	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph2-Ib*;Aac6-Im	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	-
ERR486345	Klebsiella pneumoniae	strong	112	348085	933038	ST2410-1LV	0	1	5	7	-	0	-	0	-	0	-	0	-	wzi10	KL10	*	Very high	96.77%		O1v1	none	Very high	98.04%		ST2410-1LV	4	1	13	2	10	44	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83Y;GyrA-87A	-	-	-	CatB4?	-	-	TetA	-	SHV-133;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486346	Klebsiella pneumoniae	strong	119	250035	862167	ST1	0	0	6	12	-	0	-	0	-	0	-	0	-	wzi45	KL45	?-	Good	98.41%	KL45_13_wzx	OL102	-*	None	87.92%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*;Aac3-IId*;Aph3-Ia*	-	-	ParC-84K;GyrA-83I	-	-	-	FloR*;CmlA5	Arr2	SulII;SulI?	-	DfrA14;DfrA25	AmpH*;SHV-187*;OXA-10	-	-	-	-	-
ERR486347	Klebsiella variicola	strong	177	204829	520933	ST264-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	KL107	?-+*	None	81.17%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	?-*	None	76.89%	O4_03_hypothetical,O4_06_glycosyltransferase	ST264-2LV	16	24	21	27	82*	22	80*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR486349	Klebsiella pneumoniae	strong	153	270181	1125803	ST874-1LV	0	1	9	16	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486350	Klebsiella pneumoniae	strong	131	243537	785225	ST14	1	0	3	3	ybt 10; ICEKp4	106	-	0	-	0	-	0	-	wzi16	KL16	none	Very high	99.42%		O1v1	none	Very high	98.55%		ST14	1	6	1	1	1	1	1	3	3	4	3	3	7	7	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y	-	-	-	CatA1*	-	-	-	-	AmpH*	-	-	-	SHV-1*?	-
ERR486351	Klebsiella variicola	strong	103	362492	945561	ST357-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	KL11	*	High	92.77%		O3/O3a	none	Very high	99.34%		ST357-1LV	16	24	21	27	146	22	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR486352	Klebsiella pneumoniae	strong	293	88523	204763	ST27	0	1	1	1	-	0	-	0	-	0	-	0	-	wzi84	KL28	?	Good	98.70%		O2v2	none	Very high	99.45%		ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40	-	-	-
